rect,N,exactArea,estArea,relError,absError
Accurate,14100,0.944517,0.945431,0.000967336,0.000913665
Accurate,14600,0.944517,0.945509,0.00104961,0.000991376
Accurate,15100,0.944517,0.939949,0.00483687,0.00456851
Accurate,15600,0.944517,0.950971,0.00683309,0.00645397
Accurate,16100,0.944517,0.935902,0.00912107,0.00861501
Accurate,16600,0.944517,0.946748,0.00236238,0.00223131
Accurate,17100,0.944517,0.943697,0.000867975,0.000819817
Accurate,17600,0.944517,0.927703,0.0178018,0.0168141
Accurate,18100,0.944517,0.94996,0.00576248,0.00544276
Accurate,18600,0.944517,0.93629,0.00871013,0.00822686
Accurate,19100,0.944517,0.956415,0.0125966,0.0118977
Accurate,19600,0.944517,0.935736,0.00929704,0.00878122
Accurate,20100,0.944517,0.931601,0.0136752,0.0129164
Accurate,20600,0.944517,0.949686,0.0054721,0.00516849
Accurate,21100,0.944517,0.935435,0.00961587,0.00908235
Accurate,21600,0.944517,0.935906,0.00911676,0.00861094
Accurate,22100,0.944517,0.957523,0.0137694,0.0130054
Accurate,22600,0.944517,0.936607,0.00837453,0.00790989
Accurate,23100,0.944517,0.941669,0.00301567,0.00284835
Accurate,23600,0.944517,0.946001,0.00157104,0.00148387
Accurate,24100,0.944517,0.949145,0.0048999,0.00462804
Accurate,24600,0.944517,0.948046,0.00373582,0.00352855
Accurate,25100,0.944517,0.946506,0.00210562,0.00198879
Accurate,25600,0.944517,0.941467,0.00322957,0.00305039
Accurate,26100,0.944517,0.950198,0.00601481,0.00568109
Accurate,26600,0.944517,0.949618,0.00540089,0.00510124
Accurate,27100,0.944517,0.950779,0.00662922,0.00626141
Accurate,27600,0.944517,0.941478,0.00321744,0.00303893
Accurate,28100,0.944517,0.948795,0.0045295,0.00427819
Accurate,28600,0.944517,0.942121,0.00253734,0.00239656
Accurate,29100,0.944517,0.937972,0.00693003,0.00654554
Accurate,29600,0.944517,0.952434,0.00838199,0.00791694
Accurate,30100,0.944517,0.941188,0.00352506,0.00332948
Accurate,30600,0.944517,0.943875,0.000679909,0.000642186
Accurate,31100,0.944517,0.932998,0.0121963,0.0115196
Accurate,31600,0.944517,0.943676,0.000890987,0.000841553
Accurate,32100,0.944517,0.943801,0.000757831,0.000715784
Accurate,32600,0.944517,0.958707,0.0150234,0.0141899
Accurate,33100,0.944517,0.945571,0.00111571,0.00105381
Accurate,33600,0.944517,0.954402,0.0104652,0.0098846
Accurate,34100,0.944517,0.954304,0.0103612,0.00978633
Accurate,34600,0.944517,0.948238,0.00393985,0.00372125
Accurate,35100,0.944517,0.939923,0.00486398,0.00459411
Accurate,35600,0.944517,0.943275,0.0013156,0.00124261
Accurate,36100,0.944517,0.945411,0.000946697,0.000894171
Accurate,36600,0.944517,0.952193,0.00812631,0.00767544
Accurate,37100,0.944517,0.949075,0.00482605,0.00455829
Accurate,37600,0.944517,0.937855,0.00705348,0.00666213
Accurate,38100,0.944517,0.942289,0.00235868,0.00222782
Accurate,38600,0.944517,0.94173,0.00295099,0.00278726
Accurate,39100,0.944517,0.947918,0.00360008,0.00340033
Accurate,39600,0.944517,0.932523,0.012699,0.0119945
Accurate,40100,0.944517,0.937055,0.00790067,0.00746232
Accurate,40600,0.944517,0.948159,0.0038556,0.00364168
Accurate,41100,0.944517,0.945641,0.00118931,0.00112333
Accurate,41600,0.944517,0.93851,0.00636047,0.00600757
Accurate,42100,0.944517,0.948239,0.00394014,0.00372153
Accurate,42600,0.944517,0.948898,0.00463803,0.0043807
Accurate,43100,0.944517,0.940192,0.00457926,0.00432519
Accurate,43600,0.944517,0.9426,0.00202944,0.00191684
Accurate,44100,0.944517,0.949684,0.00546998,0.00516649
Accurate,44600,0.944517,0.93654,0.008446,0.00797739
Accurate,45100,0.944517,0.953636,0.00965427,0.00911862
Accurate,45600,0.944517,0.944112,0.000429154,0.000405344
Accurate,46100,0.944517,0.938792,0.00606175,0.00572543
Accurate,46600,0.944517,0.940017,0.00476436,0.00450002
Accurate,47100,0.944517,0.941818,0.00285724,0.00269871
Accurate,47600,0.944517,0.951154,0.00702711,0.00663723
Accurate,48100,0.944517,0.936384,0.00861139,0.00813361
Accurate,48600,0.944517,0.944,0.000547566,0.000517186
Accurate,49100,0.944517,0.941687,0.00299658,0.00283032
Accurate,49600,0.944517,0.939461,0.005353,0.005056
Accurate,50100,0.944517,0.940594,0.00415331,0.00392287
Accurate,50600,0.944517,0.948108,0.00380196,0.00359102
Accurate,51100,0.944517,0.9464,0.00199362,0.00188301
Accurate,51600,0.944517,0.948571,0.00429218,0.00405404
Accurate,52100,0.944517,0.941023,0.00369991,0.00349463
Accurate,52600,0.944517,0.93381,0.0113363,0.0107073
Accurate,53100,0.944517,0.939356,0.00546444,0.00516125
Accurate,53600,0.944517,0.94699,0.0026178,0.00247255
Accurate,54100,0.944517,0.936703,0.00827335,0.00781432
Accurate,54600,0.944517,0.938213,0.0066746,0.00630427
Accurate,55100,0.944517,0.944914,0.000420385,0.000397061
Accurate,55600,0.944517,0.941552,0.0031392,0.00296503
Accurate,56100,0.944517,0.949548,0.00532647,0.00503094
Accurate,56600,0.944517,0.946455,0.00205159,0.00193776
Accurate,57100,0.944517,0.943558,0.00101575,0.000959393
Accurate,57600,0.944517,0.945668,0.00121838,0.00115078
Accurate,58100,0.944517,0.946522,0.00212252,0.00200476
Accurate,58600,0.944517,0.944286,0.00024494,0.00023135
